quarter,temperature
2010-01-01,23.79394317205495
2010-04-01,16.584343958924855
2010-07-01,15.094031049390672
2010-10-01,20.399894741148714
2011-01-01,23.58850021548163
2011-04-01,15.69734174682776
2011-07-01,14.462014337208794
2011-10-01,20.603994615704966
2012-01-01,22.66742512953803
2012-04-01,16.11907238927491
2012-07-01,14.789072292306814
2012-10-01,21.272753958113224
2013-01-01,23.221818085459855
2013-04-01,15.77621005438111
2013-07-01,15.327160306261652
2013-10-01,20.225127454220406
2014-01-01,22.744923889073835
2014-04-01,16.739530403952354
2014-07-01,13.979605337865395
2014-10-01,21.0008027791345
2015-01-01,22.618462203113065
2015-04-01,15.573191338278065
2015-07-01,13.736850182452281
2015-10-01,21.102271116683188
2016-01-01,22.949471953549402
2016-04-01,17.01796217854881
2016-07-01,14.774853296277145
2016-10-01,20.65759391383737
2017-01-01,23.735620682638693
2017-04-01,15.944882622707624
2017-07-01,14.505794537366155
2017-10-01,20.858309584176073
2018-01-01,23.081748077075275
2018-04-01,16.219978918674204
2018-07-01,14.085945977283963
2018-10-01,20.656853049947536
2019-01-01,23.615273843227317
2019-04-01,16.350685344249463
2019-07-01,14.519456001249287
2019-10-01,20.852272666878118
2020-01-01,22.606976476131877
2020-04-01,15.778293804413124
2020-07-01,14.487078055050596
2020-10-01,20.621918339458215
2021-01-01,22.251402304487982
