quarter,total_demand
2010-01-01,49239561.285
2010-04-01,48247671.019999996
2010-07-01,50211015.415
2010-10-01,46514896.77
2011-01-01,48217913.16499999
2011-04-01,47830283.504999995
2011-07-01,48616230.635000005
2011-10-01,46137155.5
2012-01-01,47188663.11
2012-04-01,47011290.315
2012-07-01,47265632.335
2012-10-01,44883583.47
2013-01-01,46260200.215
2013-04-01,45318185.115
2013-07-01,45310078.965
2013-10-01,43773951.395
2014-01-01,45397804.120000005
2014-04-01,44165717.935
2014-07-01,45631896.925
2014-10-01,43431682.425
2015-01-01,44809031.095000006
2015-04-01,44813067.370000005
2015-07-01,46485333.255
2015-10-01,44420746.58
2016-01-01,46522035.5
2016-04-01,44955022.24
2016-07-01,46444310.88
2016-10-01,43689492.055
2017-01-01,46455202.225
2017-04-01,44302363.68
2017-07-01,45706380.995
2017-10-01,43660453.74
2018-01-01,45642401.285
2018-04-01,44982003.654999994
2018-07-01,45694022.87
2018-10-01,43150248.295
2019-01-01,46330705.489999995
2019-04-01,44227126.715
2019-07-01,45208703.31
2019-10-01,42916303.02
2020-01-01,44723503.355000004
2020-04-01,43321142.345
2020-07-01,44607685.65
2020-10-01,41565582.025
2021-01-01,36153608.61
