Time_Period,Electricity_Demand,Electricity_Demand_Forecst,Scaled
2010-01-01,0.9308937883686385,,49239561.29
2010-04-01,0.8603338135876287,,48247671.02
2010-07-01,1.0,,50211015.42
2010-10-01,0.7370696672610559,,46514896.77
2011-01-01,0.8582169324016309,,48217913.16
2011-04-01,0.8306421694855965,,47830283.5
2011-07-01,0.8865519934398198,,48616230.64
2011-10-01,0.7101983335146861,,46137155.5
2012-01-01,0.7849992995969929,,47188663.11
2012-04-01,0.7723815534936489,,47011290.32
2012-07-01,0.7904746501392601,,47265632.34
2012-10-01,0.6210231359164883,,44883583.47
2013-01-01,0.7189513504589257,,46260200.22
2013-04-01,0.6519393394435027,,45318185.12
2013-07-01,0.6513626932590705,,45310078.97
2013-10-01,0.5420873773517833,,43773951.4
2014-01-01,0.6576031863447221,,45397804.12
2014-04-01,0.5699564249858966,,44165717.94
2014-07-01,0.674255817456847,,45631896.93
2014-10-01,0.5177394321990173,,43431682.43
2015-01-01,0.6157197132434699,,44809031.1
2015-04-01,0.6160068408804907,,44813067.37
2015-07-01,0.734966611526838,,46485333.26
2015-10-01,0.5880983656330564,,44420746.58
2016-01-01,0.7375774942092609,,46522035.5
2016-04-01,0.6261050668135285,,44955022.24
2016-07-01,0.7320484075825079,,46444310.88
2016-10-01,0.5360792037859508,,43689492.06
2017-01-01,0.7328231841929597,,46455202.23
2017-04-01,0.5796769759983917,,44302363.68
2017-07-01,0.6795543814812598,,45706381.0
2017-10-01,0.5340135084274481,,43660453.74
2018-01-01,0.675003064807797,,45642401.29
2018-04-01,0.6280244400211675,,44982003.65
2018-07-01,0.6786752627243627,,45694022.87
2018-10-01,0.497719087493634,,43150248.3
2019-01-01,0.7239668750825602,,46330705.49
2019-04-01,0.5743248537316819,,44227126.72
2019-07-01,0.6441511455411882,,45208703.31
2019-10-01,0.4810769512047722,,42916303.02
2020-01-01,0.609635537039708,,44723503.36
2020-04-01,0.5098759562753239,,43321142.35
2020-07-01,0.6013966270070545,,44607685.65
2020-10-01,0.3849908801209403,,41565582.03
2021-01-01,0.0,,36153608.61
2021-01-01,,0.5702228714519615,44169463.486366555
2021-04-01,,0.549959005011366,43884606.0722676
2021-07-01,,0.5510436057320597,43899852.745824814
2021-10-01,,0.5510222538148956,43899552.59323906
2022-01-01,,0.593703922801575,44499546.177514575
2022-04-01,,0.6769611257998943,45669926.5499247
2022-07-01,,0.6518159477776138,45316450.55315563
2022-10-01,,0.6095907864554772,44722874.28283248
2023-01-01,,0.5702579279200797,44169956.28940022
2023-04-01,,0.5814712191262101,44327586.08556379
2023-07-01,,0.544356253525372,43805845.91537365
2023-10-01,,0.4993482505716129,43173150.10814698
2024-01-01,,0.5030570255592104,43225285.86691439
2024-04-01,,0.5399819426326228,43744354.44764086
2024-07-01,,0.5028531202067202,43222419.4864237
2024-10-01,,0.5028852897432267,43222871.70668526
2025-01-01,,0.5028852897432267,43222871.70668526
2025-04-01,,0.5449870068938079,43814712.67207053
2025-07-01,,0.5043533148327979,43243508.33257665
2025-10-01,,0.508029920283889,43295191.8710825
